cyclone_id,timestamp,true_wind_kt,pred_wind_kt,wind_error_kt,wind_abs_error_kt
201602W,2016070609,155.0,50.30073161423206,-104.69926838576794,104.69926838576794
200706L,2007090221,132.0,55.99898636341095,-76.00101363658905,76.00101363658905
200706L,2007090321,115.0,43.744345128536224,-71.25565487146378,71.25565487146378
200321W,2003102509,118.0,46.81202472746372,-71.18797527253628,71.18797527253628
200321W,2003102506,120.0,50.66381031274796,-69.33618968725204,69.33618968725204
201602W,2016070509,110.0,43.0662140250206,-66.9337859749794,66.9337859749794
201511W,2015070806,115.0,51.39465124905109,-63.60534875094891,63.60534875094891
201602W,2016070709,138.0,79.9821320772171,-58.0178679227829,58.0178679227829
201528W,2015121409,113.0,56.98210796713829,-56.01789203286171,56.01789203286171
200311L,2003083021,35.0,89.93299341201782,54.93299341201782,54.93299341201782
